#{"t_start": 1746368349.0612533, "env_id": "None"}
r,l,t
-35.0,21,0.844632
5.0,55,0.847921
-25.0,60,0.848424
-25.0,60,0.848437
-25.0,60,0.851328
-30.0,33,0.852594
-20.0,60,0.854691
-40.0,60,0.85526
5.0,32,0.856433
-20.0,58,0.857682
-25.0,30,0.858243
-25.0,60,0.86105
-30.0,60,0.862257
-15.0,50,0.862608
-20.0,60,0.863975
10.0,37,0.864981
-25.0,60,0.868109
15.0,60,0.868531
0.0,48,0.868917
-30.0,60,0.871055
-20.0,60,0.87461
-30.0,60,0.87496
-20.0,60,0.875316
0.0,60,0.877254
-30.0,60,0.880249
-15.0,60,0.880613
-10.0,60,0.880984
-10.0,13,0.88206
-5.0,60,0.883804
-10.0,12,0.88392
-20.0,60,0.886273
25.0,29,0.886467
-5.0,60,0.887492
-15.0,13,0.888633
-15.0,16,0.888723
-20.0,12,0.889708
-40.0,60,0.890389
-20.0,60,0.892609
-20.0,39,0.893497
-30.0,60,0.950662
5.0,52,0.952424
-15.0,34,0.953575
-5.0,13,0.954755
-25.0,60,0.956828
-30.0,60,0.958253
-45.0,60,0.958683
-10.0,29,0.960693
0.0,60,0.960783
-25.0,60,0.963507
-10.0,11,0.964472
-30.0,60,0.964483
-20.0,23,0.966386
-15.0,60,0.967172
-20.0,60,0.967318
25.0,42,0.968897
-50.0,27,0.969679
-50.0,60,0.973061
-30.0,60,0.973271
-55.0,60,0.974705
-20.0,23,0.975228
-5.0,60,0.976248
-15.0,13,0.976601
15.0,45,0.977642
-25.0,19,0.977855
-10.0,17,0.978666
-10.0,13,0.979452
-25.0,60,0.981745
-45.0,60,0.983612
-25.0,60,0.984353
-45.0,60,0.985196
0.0,37,0.985569
-10.0,18,0.987226
-20.0,55,0.99026
-45.0,60,0.990559
-5.0,60,0.991439
-15.0,16,0.991629
-20.0,15,0.993346
-20.0,60,0.993932
-10.0,14,0.994546
25.0,45,0.994949
-25.0,35,0.997566
-25.0,60,0.998
-35.0,36,0.998273
-20.0,60,1.000701
-35.0,60,1.053848
-25.0,60,1.054351
-35.0,59,1.054544
5.0,26,1.056809
-40.0,60,1.058123
-5.0,40,1.058948
-35.0,60,1.060039
-15.0,22,1.060783
-25.0,46,1.062568
