#{"t_start": 1746367992.8859737, "env_id": "None"}
r,l,t
-15.0,15,0.947811
-50.0,60,1.018624
-25.0,60,1.018688
-35.0,60,1.018707
-25.0,60,1.045798
-10.0,17,1.048743
-15.0,60,1.115781
-40.0,60,1.115846
-10.0,49,1.121531
-60.0,60,1.631068
-35.0,60,1.697251
-25.0,60,1.697326
-40.0,60,1.703107
-5.0,60,1.722177
-5.0,60,1.787891
-5.0,60,1.787954
-5.0,60,1.797788
-20.0,60,2.328621
-25.0,60,2.391597
-5.0,60,2.391662
0.0,60,2.397473
5.0,60,2.421512
-15.0,22,2.455732
-5.0,60,2.487813
10.0,60,2.487877
-20.0,60,2.497574
10.0,60,3.024268
-20.0,60,3.050966
0.0,60,3.051031
10.0,60,3.056655
-15.0,60,3.099935
-15.0,60,3.126077
-10.0,60,3.126149
-5.0,60,3.132032
-10.0,60,3.739113
0.0,60,3.771883
-10.0,60,3.771948
-15.0,60,3.781502
-5.0,60,3.833931
0.0,60,3.865737
0.0,60,3.865802
-35.0,60,3.87153
5.0,60,3.922955
5.0,60,4.432485
10.0,60,4.432553
0.0,60,4.438295
-20.0,60,4.493783
-10.0,60,4.523027
-15.0,60,4.523091
5.0,60,4.53134
-15.0,60,4.58239
5.0,60,5.065919
10.0,60,5.065988
10.0,60,5.071666
5.0,60,5.122781
10.0,60,5.153533
5.0,60,5.153595
5.0,60,5.162054
0.0,60,5.212537
0.0,60,5.60916
5.0,60,5.609226
5.0,60,5.615093
0.0,60,5.657719
5.0,60,5.683863
10.0,60,5.683924
20.0,60,5.68966
10.0,60,5.732367
5.0,60,5.855786
10.0,60,5.85585
10.0,60,5.86633
0.0,60,6.420437
5.0,60,6.45332
10.0,60,6.45338
10.0,60,6.462823
0.0,60,6.516292
10.0,60,6.549592
5.0,60,6.549658
10.0,60,6.555281
5.0,60,7.0996
0.0,60,7.13168
5.0,60,7.131745
10.0,60,7.137428
-15.0,60,7.189979
5.0,60,7.221595
5.0,60,7.221661
10.0,60,7.231383
10.0,60,7.645195
10.0,60,7.671027
10.0,60,7.671087
0.0,60,7.676911
10.0,60,7.719177
15.0,60,7.74475
